hotel_name,rating,review_count,hotel_rank,amenities,languages,reviews,hotel_class,price,best_price_source,restraunts_nearby,attractions_nearby,good_for_walkers_out_of_100
ABC Premium Hostel,3.5,134 reviews,#110 of 372 Speciality lodging in Singapore,Parking,"English, Chinese, Malay","Share, ,Location : I have to praise the location of this hostel. It is located just within walking distance from Farrer Park. You cant miss it, Exit E and voile, it is just so near.  Reception : The reception area is very small and smell of shoes a lot. I think they should put the shoe rack somewhere else because it makes the area so smelly. The Indian reception lady is arrogant and glib. She served us with not a single amount of smile of caring tone. She is flat toned and very rude. She tried to pin the blame to me during our confusion about bed. I almost exploded that time. Stupid lady.  Room : I stayed in so many hostel / capsule but this one is by far second worst. Thanks god. the room is so jam packed and one room has almost 24 or maybe 30 beds. The ""capsule"" is not even private, for people sleeping on the top bunk. kidding me or what eh?? Close the top bunk.  Cleanliness : Kitchen cleanliness : sad. balcony cleanliness : okay ish. Common area with tv : too many dirty linens. Walkways : Dusty.  Breakfast : The kitchen size is mini. How do you expect 30 people to fit in? And there is no simple cereal there.  Bathroom : Dirty.  Satisfaction : Naaahhh.  Recommendations : Stay somewhere else.,…,Near to MRT , Please use gate no ""E"" to reach the place , its 4 min walk .. Bring your own Towel , soap and toilet kit , they serve basic breakfast    not near to any attraction but you can access through MRT , You need to get down to Ferrar Park,,Don't expect much as it is a hostel. Best for those those who roam around for a full day and need a good place to sleep at night. as it is a hostel they provide only bread and butter in breakfast which is acceptable for short stay. The staff is not that friendly and polite.,Really really dirty there is no cleaning at all-in the toilet, kitchen and room. Staff not friendly Breakfast is just bread and butter No possibility to cook 30 people in the same room Beds broken Danger everywhere,Very dirty place! Open space toilet and very dirty, seams don't clean from ages! No toilet paper in the toilet. No breakfast provided, but just complimentary bread and butter while in the reservation was instead included in the price. 30 people in te same dorm!! No possibility to cook in the kitchen!  Only plus is they are open 24h.","Modern,Budget",,,182,12,91
Large Colonial Setting Master Bedroom,,,,,,"Share, ",,,,,,
ABC Hostel @ Hamilton,2.0,12 reviews,#269 of 372 Speciality lodging in Singapore,,,"Share, ,Pertama kalinya backpacker ke luar negeri karena ingin menonton konser. Harga lumayan mahal karena peak season dan berbarengan dengan acara F1 GP Singapore. Kurang nyaman karena kamar laki-laki dan perempuan tidak terpisah. Lumayan jauh dari MRT Lavender. No private bath room.,The Host is arrogant, the room smells really bad. Water Ok, 10 room guest quite silent but the smell of humid won t let you sleep. When you check always the same story: the machine doesn' t work and you have to pay by cash... So booking.com says that they pre charge you 50% and the host says pay all by cash.. Ask them an email with your invoice ,Me and a friend landed in Singapore at 2 am and, after our host for the night left us hanging, we had to roam around Lavender Street looking for a hostel with available beds. After knocking at 4 hostels (none of them had available beds) we were directed into ABC. We walked up the stairs and indeed we were welcomed by men without shirts. However, he was really nice, making us a lower price on the bed because we were arriving so late and were leaving before noon the next day. Additionally, after a little bargaining (because he wanted us both to sleep in the same bed – they were double pods), he gave us a pod each. The pod had a few stains, but it looked ok. We had brought our own sheets but he provided us with towels and a blanket. The mattress was quite comfortable and we slept, just fine. And he even borrowed us a bit of tooth paste since we both forgot ours. The next day we even left later than we were supposed to and there was no problem at all. There was free wifi with very good coverage into the rooms. There were two toilets and two showers unisex. We had to go through the lobby to reach them, but they were clean and the water had good pressure. Overall, it was a suitable and affordable solution for two budget travelers.,…,Cheap & convenient, close to the Lavender MRT stop. Capsule style beds offer more privacy compared to traditional type dorms. AC in room was ice cold which is great considering how hot & humid it is in Singapore. Bed felt a bit worn but still comfy.  Now for the negative points. I was expecting to see the usual hip, young backpacker crowd here but instead I found lots of shirtless old asian men hanging around the common areas. Not sure if they were guests or employees. They don't really bother guests but for some reason I felt a bit uneasy around them.  Kitchen area was way too small & cramped. Hardly any seating area to enjoy my food. No space to put my bowl of food, had to use the balcony wall.,affordable, wifi is okay. They say free breakfast but its only a bread. So we dont actually avail the 'free breakfast'. Me and my friend shared a bed its comfortable but you have to be mindful that there are people sleeping. Yes this is for those not too picky jetsetter since you'll be sharing a room with others, different nationality and attitude. You have to deposit 10SGD but they will return it to you once you check out, just return to them the towels and the bedding. Btw aircon is OK as well as the rest room, its clean :))",,,,255,24,94
Champagne Hotel,3.0,1 review,#36 of 95 B&Bs / Inns in Singapore,Laundry service,,"Share, ,free parking,AC,Air conditioning,Stayed for one night. The picking up from airport is disappointing as the man on duty is missing. We waited for one hour plus before someone turned up, after calling the hotel.  The room is clean (but a bit smelly due to no occupation for long). Breakfast is quite nice and the dining environment is pleasant.  The concierge service from hotel to jetty is very helpful.",,,,72,8,79
Heritage@25 by The Rucksack Group,,,,,,"Share, ,comfortable with free wifi,East Coast Park,free parking,WIFI is free,East Coast Park,Free wifi in the hotel,East Coast Park",,,,118,13,92
Lucky Plaza,,,,,,"Share, ,free WIFI,orchard road,fast & free wifi,free wifi,Orchard Road,free wifi,Singapore Botanic Gardens",,,,508,95,100
J Gateway,,,,,,"Share, ,free WIFI,orchard road,Free parking,Siloso Beach,fast & free wifi,free wifi,Orchard Road",,,,203,16,100
Heritage Inn,Have you been to ,Heritage Inn,?,Free High Speed Internet (WiFi),English,"Share, ,great air conditioning,Free wifi and cable,little india,Breakfast is served",,,,317,24,100
Double One Hotel,Have you been to ,Double One Hotel,?,Air conditioning,,"Share, ,AC,air condition system,Air conditioning",,,,57,6,75
Lex Hotel,3.0,1 review,#35 of 95 B&Bs / Inns in Singapore,Concierge,,"Share, ,AC,air condition system,Air conditioning,シンガポールはちょっとしたビジネスホテルもかなりのお値段ですがこの界隈は安く、観光客やナイトライフで利用者が見られます。 だいぶ質素なホテル。",,,,57,6,74
Lion City,Have you been to ,Lion City,?,,,"Share, ,comfortable with free wifi,East Coast Park,free parking,WIFI is free,East Coast Park,Free wifi in the hotel,East Coast Park",,,,139,11,87
Hup Hoe Hotel,Have you been to ,Hup Hoe Hotel,?,Restaurant,,"Share, ,free parking,WIFI is free,East Coast Park,close to the airport,AC",,,,54,7,75
New Asia Star Hotel,2.0,3 reviews,#260 of 372 Speciality lodging in Singapore,Paid private parking nearby,English,"Share, ,free wifi was included,Little India,complimentary breakfast,great air conditioning,The only good thing about this hotel is its location. It's very conveniently located in Little India, easy walk to different MRTs (Farrer Park & Little India). Close to Mustafa center. Rooms are very small, bathroom are very small, very cheap hotel. Stay there only if you do not have enough budget.     ,what an absolute sh*thole. I DO NOT recommend, rooms were filthy. hair and holes in bed, broken locks on doors. holes in walls, cracked tiles in bathroom. family couldn't even stay the night due to how bad this place was.,Starts with 80S$ for a double room. 10S$ extra for a room with window. If you nego you can avoid that!  Do not expect a paradise of luxury, but for sure it is a safe place to spend the night in the middle of Little India. Not visible on Booking.com!! we did spend 2 nights here and enjoyed our stay. We planning to use it more often.",,,,372,41,100
Ascendere,Have you been to ,Ascendere,?,Bar / lounge,,"Share, ,AC,air condition system,Air conditioning",,,,57,6,77
Kampong @ Arab,3.5,7 reviews,#175 of 372 Speciality lodging in Singapore,Bar / lounge,,"Share, ,Actually I can find this hostel easily by google maps, but little bit confuse to find the receptionist because the place is so small. About the room is not tidy and clean after all, so I cannot sleep well in there. But I can find any kinds of food nearby.,Hard to find the frontdoor man, because we arrived too early in the morning. We wanted to check in erlier but we can't, there were still guest in the room, but it's OK. We were allowed to clean our body and changed clothes. The room was so-so. We can hear the next room guest talking. Bathrooms are outside the room and bit small. The location was great close to halal restaurant. You can find nasi kandar restaurant behind the hotel.,Maybe i am unlucky. I got the level 2  ladies dorm. Room no 22. Here's my review  My bed location is secluded. The aircond doesn't reach that area. The air flow from fan also only reach the bed on top of mine so imagine how hot it is even though the ac is there. I am ok if at least can feel the air flow from fan.The curtain to cover is smelly and not clean so i choose to spray it with my perfume to make myself comfortable. 2 of my friend start to feel itchy after few taking a nap.   Toilet/shower? Okaylah even though one of if doesn't have the lock at all. The back door is always open 24hr so that area is not really secure. Got hot water in the shower.not well maintained but oklah.  The pantry is dirty so better don't eat here  You can get a better hostel with the same price and, even cheaper.  Maybe i am not lucky enough this time. They can improve a lot here,…",,,,483,79,100
Sun Vista City Lodge,3.0,5 reviews,#31 of 95 B&Bs / Inns in Singapore,Free High Speed Internet (WiFi),,"Share, ,free wifi was included,Little India,air conditioner,great air conditioning,air condition system,O quarto é bem pequeno e simples, mas aconchegante. O banheiro é pequeno. Fiquei pouco tempo, mas atendeu minhas expectativas. Ar condicionado muito bom. Pena que fiquei em um quarto sem janelas. Para pouco tempo, recomendo. Muito perto do metro e de um shopping.,Good and nice little hotel.It is very close to FARRER PARK mrt.Renu who is at the front desk was very helpful as well the owner TERRANCE. The best part is that you can have your( BLD) from sg dollar 10 plus . Please do not have anything from the Indian  hotel next .The food is useless like the people who runs it and costly to compared to the other hotels which are 5 minutes walk from. I would like to stay in the same hotel during my future visits.,We stayed here for nine days and it was the worst esperience of our holidays. The room was really dirty and there were animals inside (such lizard, spider...). It was not possible to use kitchen because there were not enough forniture and all over was not clean. The room had got a window but outside there were too much birds that was impossible to open it. The residence is in Little India quarter; this quarter is ugly and chaotic and of course not safe for women.,Overall enjoyed my stay. Staff was kind to inform me where to eat good local food. Room was quite spacious. Will consider to stay here again for the location near the mrt, good value, and fast internet.,Ideally located since its very close to the Farrer Park MRT, Mustafa Center and City Center Mall. The place is well kept, clean and the front office staff was very helpful. We have to extend one more night due to a change of flight and they helped us find a room in their hotel despite being fully-booked due to the Singapore Sale.",,,,150,13,91
Checkers Backpackers,3.0,2 reviews,#219 of 372 Speciality lodging in Singapore,,,"Share, ,complimentary breakfast,air con,Little India,free wifi,Little India,如果仅为节省开支，不在乎其他东西，这个旅社你还可以考虑，因为价格很便宜，且包含早餐，吐司片+鸡蛋，但是，但凡你对旅店有点要求的朋友，请认真读完以下话： 1、旅社内部管理混乱 你预定的床、柜子等，都是随机的，混搭，哪个空的到了之后自己挑一个 什么check in之类的不按规则办事 2、卫生状况非常差 床单等没有每天换洗，亲自看到6人间隔壁床，在客人走后没有任何清理的情况下又接待了下一批客人 到处都有蟑螂，请做好心理准备，弥漫着印度的气息和味道，有点上头 3、请准备好耳塞 我所知道的是18人间、8人间、6人间 18人间请自动忽略，内部闷热且白天无空调，早上7点钟准时关闭空调 8人间设立在一个房间，空调24小时，去6人间要经过8人间，也吵 6人间，空间稍微宽裕一些，空调24小时，但是设在临街的路边，对面就是酒吧，准备好耳塞，一般到凌晨2-4点之间酒吧关闭恢复安静，周末做好通宵准备 4、旅社无硬件提供 所有东西请自行准备好，吹风机衣架啥的不存在的 统一是铁架床，任意转动身子会发出响声 5、住户90%印度人 很多印度人在附近打工，然后长期住在这边  丰俭由人，祝好,Hostel yang sangat murah di Little India, sangat cocok untuk budget traveler, gratis sarapan, kamar cukup nyaman, free wifi, staff sangat helpul, juga melayani penjualan tiket dan tur, sangat cocok untuk anda yang ingin penginapan yang murah tapi nyaman",,,,280,51,100
RedDoorz Premium @ Serangoon,3.0,1 review,#280 of 369 hotels in Singapore,,,"Share, ,free wifi was included,Little India,complimentary breakfast,air con,Little India,free wifi,Little India,This is a new refurbish hotel and we also tried other reddoorz properties. We booked the executive double room, it was small but clean and tidy, No floor mat outside the toilet door so floor will be wet after shower. The thing that surprise us during our 3 days staycation was the room at 3rd floor that assigned to us was beside with people who serves their SHN. Other hotels will separate floors for Staycation guests from SHN guests. So we were not comfortable after realizing it. We didn't ask the front staff coz it was obvious their front doors have small table for meals and blocking their doors). We check in late around 6pm and the front staff gave me chocolate coz it was my birthday even I didn't announce it and thank them for being sweet for their guest. But we ask on the day, of our check out if they allow us to check out before 1pm over the phone and front staff was a different lady on that day and she declined us unlike other reddoorz properties. If you want only to sleep in a clean place book here and a lot of delicious indian foods surrounding the place.,…",,,,300,46,100
Radius International City Lodge,3.0,4 reviews,#276 of 369 hotels in Singapore,Wifi,,"Share, ,free wifi was included,Little India,air conditioner,great air conditioning,air condition system,I was there during 45 days in this country and in this place, because of work. Most of the rooms don't have windows, and are small. You have the Farrer Park Subway next to it. Cons: Depending of the available rooms, you will need to share with other person the room, and sometimes they are leaving and arriving again. Good for meeting people but bad if you end up sharing with a person who is a mess. Pros: You have a paid washing machine, and a television in the ground floor if you really need to check something in television. Summary: it was enough for the price and the hurry of not find nothing else available. Remember that in Singapore almost everything related with accommodation is expensive, and finding a good place is difficult. You can rent with them a month and during that, period look for a better place, or arrange with a friend.  Very bad thing: The hostel is next to a food court, so you can see cockroaches or rats in the ground floor oftenly, in the television place. There is nothing to do about it, but they will never get to your room.,…,Stayed here for three weeks !! Very good hostel, had to share a room but was quite all right, rooms were very clean and room service was two times a week !   They renewed the whole building not so long ago and by the looks of it, was it still renewing ! The only thing that bothered me was the poor and sometimes dirty kitchen.   But there is Wi-Fi over every floor. There is night guard too ! Your Hostel is in the middle of Little India which will be pretty impressive when you go out on a sunday afternoon, you'll see !,写真に騙されて2週間ほど宿泊しました。 安いのはいいのですが、窓がないのと部屋が臭いことを覚悟して泊った方がよろしいかと思います。窓が無いため臭いがこもるので、常にエアコンは切れない状態となり、喉をやられて風邪を引く人が頻発します。ホステルなのでタオルや石鹸、シャンプーなど一切ありません。また、シャワールームとトイレが一緒なのは許せますが、シャワーカーテンがないのでシャワー後には周りが洪水のようになります。シャワーはチょロチョロとしかでなく、突然お湯から水に変わったりもします。ベットはマットレスの上に直接シーツがかかり、背中にスプリングの感触が残ります。また掛け布団はなく、タオルケットが一枚だけでした。これらは、１週間に１度だけ交換してくれます。私の部屋にはTVがありましたが、他の部屋にはないそうです。あと、雨が降ると部屋の中にも雨が降ります。雨漏りの件も含めていくつかリクエストをしましたが、なにも改善していただけませんでした。また、部屋のカードキーを紛失すると50ドル取られるそうです。 日本人の私には理解できない宿泊施設でした。すぐに別のホテルを探しました。,Stayed here for 3 nights over the F1 GP weekend. We couldnt afford our usual hotel as the prices doubled, so went for a hostel instead & this one was fine.  We had a standard private double, with AC & hot water private shower. Room was basic, but had Wifi. No tv (if thats what you want), although teh pictures show a tv - these are for the 'deluxe' rooms which are not available on the hostel websites i used. Room was also on the small side. There is a 7 Eleven type shop next door, & Farrer Park MRT is 2 mins walk away - handy for quick journey to the Quays. Little India (or at least part of it) is a few minutes walk away, & there are also local type eateries very closeby. If i couldnt afford a regualr hotel i would stay here again as it is secure & ok value for Singapore.",,,,150,13,91
Mayfair City Boarding House,3.0,1 review,#278 of 369 hotels in Singapore,Internet,,"Share, ,Merlion Park,The Hotel offers free Wifi,Merlion Park,free wifi,Chinatown,great free WiFi,Nice ambiance and easily accessible place. Good stay with complimentary breakfast. Very near to Cityhall Metro. 5 minutes walk from metro station. Rooms are very clean and compact to stay. Suitable for budgetary people and worth paying.",,,,310,79,100
Grandmax,4.0,1 review,#32 of 95 B&Bs / Inns in Singapore,Concierge,,"Share, ,free wifi was included,Little India,complimentary breakfast,great air conditioning,ou at anytpersonnel are are most welcoming.They will help at any time.they also act as guides and will show you the best direction for your leisure,shopping ect.The rooms are kept clean and correcly maintained.The hotel is well situated,close to shopping centres and restaurants.",,,,338,28,100
88 Lodging,3.0,4 reviews,#211 of 372 Speciality lodging in Singapore,,,"Share, ,AC,Air conditioning,Чистенько аккуратненько из принципа жоппа к жоппе))))ой пардон попа к попе,но не ведитесь на окно в номере.Выего не увидите да и там нечего смотреть. Ходите,гуляйте,любуйтесь Сингой он прекрасен,на остров обязательно илетом всегда берите накидку от дождя,If you are looking for a cheap place to stay, this one is for you. This is just a simple place but it is safe and I am glad they have a friendly staff.  They even allow us to eat their noodles. This is good for a family, group or individual trip because they have available rooms which fit every needs.,we spent a night for the next day trip to US and tried to get this hotel late at night and this was a terrible hotel especially for families. we didnt relaized that this was located in red light area and the room has nothing but a filthy bed and very small bedroom for US$80,Cheap The 6 bed rooms are much better than the 8 bed. The rooms are not big enough  Location is hard to reach. You need metro and 10-15 min walk to there. Rooms are small Toilets not as clean as they should be Staff not available all the time at reception so if you arrive late you might find nobody to show you the room",,,,39,5,74
Hotel 81 Bugis,3.0,253 reviews,#282 of 369 hotels in Singapore,Paid public parking nearby,"English, Chinese, Malay","Share, ,It’s along some of the popular 5 star hotels and yet you don’t see much people and traffic.  The nearest MRT Station is about 400 meters away and it’s only 1 to 2 stations from the major landmarks.  Bugis street is just walking distance.  There are also a few local restaurants near here.  If you want a quiet and peaceful place, this is the right hotel for you.  ,This is a love hotel. Hence you wont find much help from the front desk if you are there to travel. The front desk is extremely rude except one guy which you will be able to identify once you stay there. You will find locals with their girlfriends and prostitutes. However the rooms are clean and overall a good place to rest your head.,Hotel location was 5 mins walk away from Bugis Junction. Place was clean, even tho abit small.  Basic necessity like tooth brush and hairdryer is available. Staff at counter is OK and gd price, there is a 7-11 right at the side to satisfy your cravings.,Two things that are expensive in Singapore are a) alcohol and b) accommodation. This is a ""budget"" hotel, yet comparing it to our last room in Kuala Lumpur was night and day. It was about 4 times as expensive and 4 times smaller! We did expect this, but it's an interesting comparison none the less. We found the desk staff to be polite and having pre-booked had no issues with pricing. The room was to accommodate 3 men, 2 shared a double bed and the third on a smaller pull out chair thing. The bathroom is basically a combination of sink, toilet and shower, so make sure you do everything else before using the shower as the room will be soaked afterwards! There were small mites crawling around the shower drain and wall area. There was also a TV and safe (where we stored our, passports, valuables). It was nothing more than a functional room to do your ablutions and sleep. If you're looking for a room with basic purposes and you're going to be out and about a lot, then it's acceptable for the job and is also situated in a great location, which is the main positive for staying here.,…,Hotel 81 is definitely not a place to be when you are on a week-long vacation to Singapore or on a business trip. However, there could be one great reason why you should choose to stay in this hotel. It's in the middle of 2 places I intended to go to when I visited the country. Located at the Middle Rd, it only takes 13 minutes to walk (4 mins if you take a cab) your way to the Merlion Park where you can view the Marina Bay Sands and the Singapore Flyer across the bay. And the best place to buy souvenirs before going home is just 8 minutes walk to the other side. Bugis Street, or Bugis+ are must-see places where you can buy lots of knick-knacks and other what-nots. Plus, it is surrounded by fast food restaurants where you can buy food even after midnight! The room itself could, be just the same as your room at home. Nothing extra-ordinary and grandiose, but cozy and quiet. And I shouldn't forget... front desk officers are not friendly, if you're looking for a service deluxe treatment. This is something that you should not expect here.,…",Centrally Located,,,714,77,100
Rabbit Carrot Gun,3.0,14 reviews,#205 of 372 Speciality lodging in Singapore,Free High Speed Internet (WiFi),,"Share, ,Best macaroni cheese in Singapore, very tasty avocado smash too. The side of broccoli should not have been brown on top, perhaps it was put under a heat lamp or grill to warm it? but that’s a minor issue.  Have visited twice already this month and will definitely return..  The significant negative was the absolutely tiny - 100 ml to be precise - glass of Prosecco.  Rabbit Carrot Gun is not unique in Singapore in not listing the measures of drinks on its menu but I would have happily ordered a bottle had I realised just how small a glass would be. Another niggle, I appreciate it was busy but almost as soon as I’d finished my food, I was approached and told the amount due - there was no “would you like a drink, desert, coffee”...,I’ve been here half a dozen times but never again.  As many others have stated the owner is rude and aggressive which is totally unnecessary.  I am kicking myself for having gone back there again and not immediately walking away.  Best avoided.,Visited on 18 January. Very busy and great atmosphere. Service was excellent, and considering how busy they were, was exemplary.    Three of us had dinner which was out of the kitchen very quickly, and melted in ones mouth. Excellent flavours made the meals ones to remember.   I was the only one who had a dessert, which was the Sticky Date Pudding, and the best I have had in singapore.   The stay of gin was something we had to try, and between the 3 of us, we sampled several great gins.   Highly recommended ,Food wasn’t great , definitely way way way over priced for for food that I would hope never to have again . I would avoid but it’s alllll very meh. Why would anyone pay 27 dollars for a burger that was so not delicious . I wish I didn’t waste the stomach space ,Decent food Lousy service - I don’t seem to understand the reason for being rude bordering on hostile.  They define rules like army sergeants - relax guys! We’re all here to have a good time and you need to match the Sunday demands in a better way. Include politeness and giving the customers a good memorable experience in your menu too. I see selective people praising your service - is there a better mood the customers can catch your team in (all sarcasm intended)? In the end we all walked to Awfully Chocolate for desserts.  ",,,,233,15,95
A Travellers Rest Stop,4.0,1 review,#206 of 372 Speciality lodging in Singapore,,,"Share, ,free wifi,Chinatown,Chinatown,complimentary parking,near Chinatown,complimentary WiFi,Furama Riverside Hotel Singapore.  Well appointed hotel, good pool area and gym.  Excellent breakfast, the happy hour each day at the Waterfall Lounge was much appreciated after a heavy day shopping in the heat.  A good location with a free shuttle but service to Orchard Road.  Friendly service, room cleaned early each morning.  Would certainly stay at the Furama again.",,,,660,98,100
Fragrance Hotel - Kovan,3.0,9 reviews,#285 of 369 hotels in Singapore,Free parking,English,"Share, ,Location of the hotel is convenient enough. Has a coffeeshop and convenience store just next door. Not far from NEX. Promised Wi-fi is almost non-existent. Receptionist was not very friendly when we checked in. Noisy during the night with doors banging and people talking loudly.,Near to Serangoon NEX shopping mall.. I am abit of a clean freak and since the bed sheet was not spotless, but requested for housekeeping to come and change the bed sheet and the guy was helpful to choose the best bed sheet for my room.,This is an okay basic cheap hotel in the red light district. So it's fine if you are on a budget and not too fussy about the location.   It was clean enough and the staff were helpful.  If you would prefer not to stay here AVOID WOTIF MYSTERY HOTEL DEALS.   I took the risk with a mystery deal that landed me this place, and was charged more than the regular listed price on Wotif's own listing. Wot a ripoff.   After some painful communication with Wotif I was given a partial refund, but they ignored my request to cancel or change to a better hotel.   It's unfortunate that the hotel will be reviewed unfavorably by disappointed guests like me when it's Wotif that should be copping the flack.,Thank god I only stayed here for one night - I had just come back to Singapore from a sidetrip to Burma, and was heading back to the US the following day, and picked this place just as a location to crash for the night before my flight early the next morning. Mercifully this meant I only spent a total of like, 6 hours at this dump.   The place is called the ""fragrance hotel"" and man did they live up to that name - the first room I was given smelled like cigarette smoke even though this property is purportedly non-smoking, and when I complained and was moved to a new room, it smelled sickly sweet like some sort of cheap perfume or something. Whatever, I figured.  The bed felt like it was only a box spring, and was barely comfortable enough to get a few hours sleep on. I can't, imagine what it would be like staying here multiple nights. Hallways were absolutely minute and tiny; with the housekeeping cart in the way I could barely get by. Staff was surprisingly decent; the only bright spot in an otherwise awful experience.,…,We had a pleasant stay here in Fragrance Kovan. The room was clean and neatly organised but the room is quite small for us and also there's window in the room. However the reception counter was friendly and helpful. We had a smooth and fast check in by the reception counter Liyana and ZhaoPeng. Their team work was wonderful. We would like to stay here again and if possible rooms with window for us next time? :-D Thanks..",,,,189,8,65
Wanderous Hostel,4.0,1 review,#209 of 372 Speciality lodging in Singapore,,,"Share, ,Merlion Park,free wifi,Chinatown,Chinatown,complimentary wifi,Chinatown,저렴한 가격에 독특한 호텔을 즐기고 싶다면 추천합니다. 절대 가족끼리 가진 마시고, 친구나 커플이 간다면 좋을 것 같아요. 방마다 동화같은, 아니면 영화같은 컨셉을 가지고 있습니다. 색다른 경험이에요.  조식은 뷔페가 아니고 가벼운 메뉴를 고를 수 있어요.  팬케익이 맛납니다. ^^",,,,648,113,100
Citystate Serviced Apartment,4.0,1 review,#204 of 372 Speciality lodging in Singapore,,,"Share, ,free wifi,Chinatown,Chinatown,complimentary wifi,Chinatown,free WIFI in my room,Chinatown,We stayed for 5 days along with our daughter during the later part of September, 2016. The booking, reception, check in went off without a hitch. The place is located in Chinatown surrounded by skyscrapers. The apartments are housed in a elegant yesteryear building. The rooms consisting of 1 bedroom, living, dining room and kitchenette were spacious, well furnished with all amenities including a washer and dryer in the kitchen. The Wifi was functional and good. Easy walking distance to Chinatown, Mariamman Temple, restaurants, hawker centre. One can take the nearby Singapore MRT (Mass Rapid Transit) and practically cover all places of interest in Singapore. Overall we had an enjoyable stay.  The only downside was inordinate delay in remitting back 250 Singapore dollars taken as, deposit at the time of check in. We were promised the deposit will be refunded in 2 to 3 weeks. The money was finally remitted  after several e mails to the management and the booking agency.  Travelling group: Spouse/Partner,…",,,,935,131,100
